age,sex,smoker,payback_type,face_value
18,male,yes,Annual Forever,10000
18,male,yes,Annual Forever,25000
18,male,yes,Annual Forever,50000
18,male,yes,Annual Forever,100000
18,male,yes,Annual Forever,250000
18,male,yes,Annual Forever,1000000
18,male,yes,1,10000
18,male,yes,1,25000
18,male,yes,1,50000
18,male,yes,1,100000
18,male,yes,1,250000
18,male,yes,1,1000000
18,male,yes,5,10000
18,male,yes,5,25000
18,male,yes,5,50000
18,male,yes,5,100000
18,male,yes,5,250000
18,male,yes,5,1000000
18,male,yes,10,10000
18,male,yes,10,25000
18,male,yes,10,50000
18,male,yes,10,100000
18,male,yes,10,250000
18,male,yes,10,1000000
18,male,yes,25,10000
18,male,yes,25,25000
18,male,yes,25,50000
18,male,yes,25,100000
18,male,yes,25,250000
18,male,yes,25,1000000
18,male,no,Annual Forever,10000
18,male,no,Annual Forever,25000
18,male,no,Annual Forever,50000
18,male,no,Annual Forever,100000
18,male,no,Annual Forever,250000
18,male,no,Annual Forever,1000000
18,male,no,1,10000
18,male,no,1,25000
18,male,no,1,50000
18,male,no,1,100000
18,male,no,1,250000
18,male,no,1,1000000
18,male,no,5,10000
18,male,no,5,25000
18,male,no,5,50000
18,male,no,5,100000
18,male,no,5,250000
18,male,no,5,1000000
18,male,no,10,10000
18,male,no,10,25000
18,male,no,10,50000
18,male,no,10,100000
18,male,no,10,250000
18,male,no,10,1000000
18,male,no,25,10000
18,male,no,25,25000
18,male,no,25,50000
18,male,no,25,100000
18,male,no,25,250000
18,male,no,25,1000000
18,female,yes,Annual Forever,10000
18,female,yes,Annual Forever,25000
18,female,yes,Annual Forever,50000
18,female,yes,Annual Forever,100000
18,female,yes,Annual Forever,250000
18,female,yes,Annual Forever,1000000
18,female,yes,1,10000
18,female,yes,1,25000
18,female,yes,1,50000
18,female,yes,1,100000
18,female,yes,1,250000
18,female,yes,1,1000000
18,female,yes,5,10000
18,female,yes,5,25000
18,female,yes,5,50000
18,female,yes,5,100000
18,female,yes,5,250000
18,female,yes,5,1000000
18,female,yes,10,10000
18,female,yes,10,25000
18,female,yes,10,50000
18,female,yes,10,100000
18,female,yes,10,250000
18,female,yes,10,1000000
18,female,yes,25,10000
18,female,yes,25,25000
18,female,yes,25,50000
18,female,yes,25,100000
18,female,yes,25,250000
18,female,yes,25,1000000
18,female,no,Annual Forever,10000
18,female,no,Annual Forever,25000
18,female,no,Annual Forever,50000
18,female,no,Annual Forever,100000
18,female,no,Annual Forever,250000
18,female,no,Annual Forever,1000000
18,female,no,1,10000
18,female,no,1,25000
18,female,no,1,50000
18,female,no,1,100000
18,female,no,1,250000
18,female,no,1,1000000
18,female,no,5,10000
18,female,no,5,25000
18,female,no,5,50000
18,female,no,5,100000
18,female,no,5,250000
18,female,no,5,1000000
18,female,no,10,10000
18,female,no,10,25000
18,female,no,10,50000
18,female,no,10,100000
18,female,no,10,250000
18,female,no,10,1000000
18,female,no,25,10000
18,female,no,25,25000
18,female,no,25,50000
18,female,no,25,100000
18,female,no,25,250000
18,female,no,25,1000000
19,male,yes,Annual Forever,10000
19,male,yes,Annual Forever,25000
19,male,yes,Annual Forever,50000
19,male,yes,Annual Forever,100000
19,male,yes,Annual Forever,250000
19,male,yes,Annual Forever,1000000
19,male,yes,1,10000
19,male,yes,1,25000
19,male,yes,1,50000
19,male,yes,1,100000
19,male,yes,1,250000
19,male,yes,1,1000000
19,male,yes,5,10000
19,male,yes,5,25000
19,male,yes,5,50000
19,male,yes,5,100000
19,male,yes,5,250000
19,male,yes,5,1000000
19,male,yes,10,10000
19,male,yes,10,25000
19,male,yes,10,50000
19,male,yes,10,100000
19,male,yes,10,250000
19,male,yes,10,1000000
19,male,yes,25,10000
19,male,yes,25,25000
19,male,yes,25,50000
19,male,yes,25,100000
19,male,yes,25,250000
19,male,yes,25,1000000
19,male,no,Annual Forever,10000
19,male,no,Annual Forever,25000
19,male,no,Annual Forever,50000
19,male,no,Annual Forever,100000
19,male,no,Annual Forever,250000
19,male,no,Annual Forever,1000000
19,male,no,1,10000
19,male,no,1,25000
19,male,no,1,50000
19,male,no,1,100000
19,male,no,1,250000
19,male,no,1,1000000
19,male,no,5,10000
19,male,no,5,25000
19,male,no,5,50000
19,male,no,5,100000
19,male,no,5,250000
19,male,no,5,1000000
19,male,no,10,10000
19,male,no,10,25000
19,male,no,10,50000
19,male,no,10,100000
19,male,no,10,250000
19,male,no,10,1000000
19,male,no,25,10000
19,male,no,25,25000
19,male,no,25,50000
19,male,no,25,100000
19,male,no,25,250000
19,male,no,25,1000000
19,female,yes,Annual Forever,10000
19,female,yes,Annual Forever,25000
19,female,yes,Annual Forever,50000
19,female,yes,Annual Forever,100000
19,female,yes,Annual Forever,250000
19,female,yes,Annual Forever,1000000
19,female,yes,1,10000
19,female,yes,1,25000
19,female,yes,1,50000
19,female,yes,1,100000
19,female,yes,1,250000
19,female,yes,1,1000000
19,female,yes,5,10000
19,female,yes,5,25000
19,female,yes,5,50000
19,female,yes,5,100000
19,female,yes,5,250000
19,female,yes,5,1000000
19,female,yes,10,10000
19,female,yes,10,25000
19,female,yes,10,50000
19,female,yes,10,100000
19,female,yes,10,250000
19,female,yes,10,1000000
19,female,yes,25,10000
19,female,yes,25,25000
19,female,yes,25,50000
19,female,yes,25,100000
19,female,yes,25,250000
19,female,yes,25,1000000
19,female,no,Annual Forever,10000
19,female,no,Annual Forever,25000
19,female,no,Annual Forever,50000
19,female,no,Annual Forever,100000
19,female,no,Annual Forever,250000
19,female,no,Annual Forever,1000000
19,female,no,1,10000
19,female,no,1,25000
19,female,no,1,50000
19,female,no,1,100000
19,female,no,1,250000
19,female,no,1,1000000
19,female,no,5,10000
19,female,no,5,25000
19,female,no,5,50000
19,female,no,5,100000
19,female,no,5,250000
19,female,no,5,1000000
19,female,no,10,10000
19,female,no,10,25000
19,female,no,10,50000
19,female,no,10,100000
19,female,no,10,250000
19,female,no,10,1000000
19,female,no,25,10000
19,female,no,25,25000
19,female,no,25,50000
19,female,no,25,100000
19,female,no,25,250000
19,female,no,25,1000000
20,male,yes,Annual Forever,10000
20,male,yes,Annual Forever,25000
20,male,yes,Annual Forever,50000
20,male,yes,Annual Forever,100000
20,male,yes,Annual Forever,250000
20,male,yes,Annual Forever,1000000
20,male,yes,1,10000
20,male,yes,1,25000
20,male,yes,1,50000
20,male,yes,1,100000
20,male,yes,1,250000
20,male,yes,1,1000000
20,male,yes,5,10000
20,male,yes,5,25000
20,male,yes,5,50000
20,male,yes,5,100000
20,male,yes,5,250000
20,male,yes,5,1000000
20,male,yes,10,10000
20,male,yes,10,25000
20,male,yes,10,50000
20,male,yes,10,100000
20,male,yes,10,250000
20,male,yes,10,1000000
20,male,yes,25,10000
20,male,yes,25,25000
20,male,yes,25,50000
20,male,yes,25,100000
20,male,yes,25,250000
20,male,yes,25,1000000
20,male,no,Annual Forever,10000
20,male,no,Annual Forever,25000
20,male,no,Annual Forever,50000
20,male,no,Annual Forever,100000
20,male,no,Annual Forever,250000
20,male,no,Annual Forever,1000000
20,male,no,1,10000
20,male,no,1,25000
20,male,no,1,50000
20,male,no,1,100000
20,male,no,1,250000
20,male,no,1,1000000
20,male,no,5,10000
20,male,no,5,25000
20,male,no,5,50000
20,male,no,5,100000
20,male,no,5,250000
20,male,no,5,1000000
20,male,no,10,10000
20,male,no,10,25000
20,male,no,10,50000
20,male,no,10,100000
20,male,no,10,250000
20,male,no,10,1000000
20,male,no,25,10000
20,male,no,25,25000
20,male,no,25,50000
20,male,no,25,100000
20,male,no,25,250000
20,male,no,25,1000000
20,female,yes,Annual Forever,10000
20,female,yes,Annual Forever,25000
20,female,yes,Annual Forever,50000
20,female,yes,Annual Forever,100000
20,female,yes,Annual Forever,250000
20,female,yes,Annual Forever,1000000
20,female,yes,1,10000
20,female,yes,1,25000
20,female,yes,1,50000
20,female,yes,1,100000
20,female,yes,1,250000
20,female,yes,1,1000000
20,female,yes,5,10000
20,female,yes,5,25000
20,female,yes,5,50000
20,female,yes,5,100000
20,female,yes,5,250000
20,female,yes,5,1000000
20,female,yes,10,10000
20,female,yes,10,25000
20,female,yes,10,50000
20,female,yes,10,100000
20,female,yes,10,250000
20,female,yes,10,1000000
20,female,yes,25,10000
20,female,yes,25,25000
20,female,yes,25,50000
20,female,yes,25,100000
20,female,yes,25,250000
20,female,yes,25,1000000
20,female,no,Annual Forever,10000
20,female,no,Annual Forever,25000
20,female,no,Annual Forever,50000
20,female,no,Annual Forever,100000
20,female,no,Annual Forever,250000
20,female,no,Annual Forever,1000000
20,female,no,1,10000
20,female,no,1,25000
20,female,no,1,50000
20,female,no,1,100000
20,female,no,1,250000
20,female,no,1,1000000
20,female,no,5,10000
20,female,no,5,25000
20,female,no,5,50000
20,female,no,5,100000
20,female,no,5,250000
20,female,no,5,1000000
20,female,no,10,10000
20,female,no,10,25000
20,female,no,10,50000
20,female,no,10,100000
20,female,no,10,250000
20,female,no,10,1000000
20,female,no,25,10000
20,female,no,25,25000
20,female,no,25,50000
20,female,no,25,100000
20,female,no,25,250000
20,female,no,25,1000000
21,male,yes,Annual Forever,10000
21,male,yes,Annual Forever,25000
21,male,yes,Annual Forever,50000
21,male,yes,Annual Forever,100000
21,male,yes,Annual Forever,250000
21,male,yes,Annual Forever,1000000
21,male,yes,1,10000
21,male,yes,1,25000
21,male,yes,1,50000
21,male,yes,1,100000
21,male,yes,1,250000
21,male,yes,1,1000000
21,male,yes,5,10000
21,male,yes,5,25000
21,male,yes,5,50000
21,male,yes,5,100000
21,male,yes,5,250000
21,male,yes,5,1000000
21,male,yes,10,10000
21,male,yes,10,25000
21,male,yes,10,50000
21,male,yes,10,100000
21,male,yes,10,250000
21,male,yes,10,1000000
21,male,yes,25,10000
21,male,yes,25,25000
21,male,yes,25,50000
21,male,yes,25,100000
21,male,yes,25,250000
21,male,yes,25,1000000
21,male,no,Annual Forever,10000
21,male,no,Annual Forever,25000
21,male,no,Annual Forever,50000
21,male,no,Annual Forever,100000
21,male,no,Annual Forever,250000
21,male,no,Annual Forever,1000000
21,male,no,1,10000
21,male,no,1,25000
21,male,no,1,50000
21,male,no,1,100000
21,male,no,1,250000
21,male,no,1,1000000
21,male,no,5,10000
21,male,no,5,25000
21,male,no,5,50000
21,male,no,5,100000
21,male,no,5,250000
21,male,no,5,1000000
21,male,no,10,10000
21,male,no,10,25000
21,male,no,10,50000
21,male,no,10,100000
21,male,no,10,250000
21,male,no,10,1000000
21,male,no,25,10000
21,male,no,25,25000
21,male,no,25,50000
21,male,no,25,100000
21,male,no,25,250000
21,male,no,25,1000000
21,female,yes,Annual Forever,10000
21,female,yes,Annual Forever,25000
21,female,yes,Annual Forever,50000
21,female,yes,Annual Forever,100000
21,female,yes,Annual Forever,250000
21,female,yes,Annual Forever,1000000
21,female,yes,1,10000
21,female,yes,1,25000
21,female,yes,1,50000
21,female,yes,1,100000
21,female,yes,1,250000
21,female,yes,1,1000000
21,female,yes,5,10000
21,female,yes,5,25000
21,female,yes,5,50000
21,female,yes,5,100000
21,female,yes,5,250000
21,female,yes,5,1000000
21,female,yes,10,10000
21,female,yes,10,25000
21,female,yes,10,50000
21,female,yes,10,100000
21,female,yes,10,250000
21,female,yes,10,1000000
21,female,yes,25,10000
21,female,yes,25,25000
21,female,yes,25,50000
21,female,yes,25,100000
21,female,yes,25,250000
21,female,yes,25,1000000
21,female,no,Annual Forever,10000
21,female,no,Annual Forever,25000
21,female,no,Annual Forever,50000
21,female,no,Annual Forever,100000
21,female,no,Annual Forever,250000
21,female,no,Annual Forever,1000000
21,female,no,1,10000
21,female,no,1,25000
21,female,no,1,50000
21,female,no,1,100000
21,female,no,1,250000
21,female,no,1,1000000
21,female,no,5,10000
21,female,no,5,25000
21,female,no,5,50000
21,female,no,5,100000
21,female,no,5,250000
21,female,no,5,1000000
21,female,no,10,10000
21,female,no,10,25000
21,female,no,10,50000
21,female,no,10,100000
21,female,no,10,250000
21,female,no,10,1000000
21,female,no,25,10000
21,female,no,25,25000
21,female,no,25,50000
21,female,no,25,100000
21,female,no,25,250000
21,female,no,25,1000000
22,male,yes,Annual Forever,10000
22,male,yes,Annual Forever,25000
22,male,yes,Annual Forever,50000
22,male,yes,Annual Forever,100000
22,male,yes,Annual Forever,250000
22,male,yes,Annual Forever,1000000
22,male,yes,1,10000
22,male,yes,1,25000
22,male,yes,1,50000
22,male,yes,1,100000
22,male,yes,1,250000
22,male,yes,1,1000000
22,male,yes,5,10000
22,male,yes,5,25000
22,male,yes,5,50000
22,male,yes,5,100000
22,male,yes,5,250000
22,male,yes,5,1000000
22,male,yes,10,10000
22,male,yes,10,25000
22,male,yes,10,50000
22,male,yes,10,100000
22,male,yes,10,250000
22,male,yes,10,1000000
22,male,yes,25,10000
22,male,yes,25,25000
22,male,yes,25,50000
22,male,yes,25,100000
22,male,yes,25,250000
22,male,yes,25,1000000
22,male,no,Annual Forever,10000
22,male,no,Annual Forever,25000
22,male,no,Annual Forever,50000
22,male,no,Annual Forever,100000
22,male,no,Annual Forever,250000
22,male,no,Annual Forever,1000000
22,male,no,1,10000
22,male,no,1,25000
22,male,no,1,50000
22,male,no,1,100000
22,male,no,1,250000
22,male,no,1,1000000
22,male,no,5,10000
22,male,no,5,25000
22,male,no,5,50000
22,male,no,5,100000
22,male,no,5,250000
22,male,no,5,1000000
22,male,no,10,10000
22,male,no,10,25000
22,male,no,10,50000
22,male,no,10,100000
22,male,no,10,250000
22,male,no,10,1000000
22,male,no,25,10000
22,male,no,25,25000
22,male,no,25,50000
22,male,no,25,100000
22,male,no,25,250000
22,male,no,25,1000000
22,female,yes,Annual Forever,10000
22,female,yes,Annual Forever,25000
22,female,yes,Annual Forever,50000
22,female,yes,Annual Forever,100000
22,female,yes,Annual Forever,250000
22,female,yes,Annual Forever,1000000
22,female,yes,1,10000
22,female,yes,1,25000
22,female,yes,1,50000
22,female,yes,1,100000
22,female,yes,1,250000
22,female,yes,1,1000000
22,female,yes,5,10000
22,female,yes,5,25000
22,female,yes,5,50000
22,female,yes,5,100000
22,female,yes,5,250000
22,female,yes,5,1000000
22,female,yes,10,10000
22,female,yes,10,25000
22,female,yes,10,50000
22,female,yes,10,100000
22,female,yes,10,250000
22,female,yes,10,1000000
22,female,yes,25,10000
22,female,yes,25,25000
22,female,yes,25,50000
22,female,yes,25,100000
22,female,yes,25,250000
22,female,yes,25,1000000
22,female,no,Annual Forever,10000
22,female,no,Annual Forever,25000
22,female,no,Annual Forever,50000
22,female,no,Annual Forever,100000
22,female,no,Annual Forever,250000
22,female,no,Annual Forever,1000000
22,female,no,1,10000
22,female,no,1,25000
22,female,no,1,50000
22,female,no,1,100000
22,female,no,1,250000
22,female,no,1,1000000
22,female,no,5,10000
22,female,no,5,25000
22,female,no,5,50000
22,female,no,5,100000
22,female,no,5,250000
22,female,no,5,1000000
22,female,no,10,10000
22,female,no,10,25000
22,female,no,10,50000
22,female,no,10,100000
22,female,no,10,250000
22,female,no,10,1000000
22,female,no,25,10000
22,female,no,25,25000
22,female,no,25,50000
22,female,no,25,100000
22,female,no,25,250000
22,female,no,25,1000000
23,male,yes,Annual Forever,10000
23,male,yes,Annual Forever,25000
23,male,yes,Annual Forever,50000
23,male,yes,Annual Forever,100000
23,male,yes,Annual Forever,250000
23,male,yes,Annual Forever,1000000
23,male,yes,1,10000
23,male,yes,1,25000
23,male,yes,1,50000
23,male,yes,1,100000
23,male,yes,1,250000
23,male,yes,1,1000000
23,male,yes,5,10000
23,male,yes,5,25000
23,male,yes,5,50000
23,male,yes,5,100000
23,male,yes,5,250000
23,male,yes,5,1000000
23,male,yes,10,10000
23,male,yes,10,25000
23,male,yes,10,50000
23,male,yes,10,100000
23,male,yes,10,250000
23,male,yes,10,1000000
23,male,yes,25,10000
23,male,yes,25,25000
23,male,yes,25,50000
23,male,yes,25,100000
23,male,yes,25,250000
